Squad, URL
Barcelona, https://assets.laliga.com/assets/2019/06/07/xsmall/fc-barcelona-femenino.png
Real Madrid, https://assets.laliga.com/assets/2019/06/07/xsmall/real-madrid.png
Atlético Madrid, https://assets.laliga.com/assets/2019/06/07/xsmall/atletico-feminas.png
Madrid CFF, https://assets.laliga.com/assets/2019/06/07/xsmall/madrid-futbol-femenino.png
Real Sociedad, https://assets.laliga.com/assets/2019/06/07/xsmall/real-sociedad.png
Levante, https://assets.laliga.com/assets/2019/06/07/xsmall/levante-femenino.png
Valencia, https://assets.laliga.com/assets/2019/06/07/xsmall/valencia-femenino.png
Levante Planas, https://assets.laliga.com/assets/2022/06/20/xsmall/14ce187ab605f5353d8e8b14ef712363.png
Sevilla, https://assets.laliga.com/assets/2019/06/07/xsmall/sevilla.png
UDG Tenerife, https://assets.laliga.com/assets/2019/06/07/xsmall/granadilla.png
Sporting Huelva, https://assets.laliga.com/assets/2019/06/07/xsmall/sporting-club.png
Real Betis, https://assets.laliga.com/assets/2022/09/15/xsmall/0f75a38f9d49c40bd932c89916bcca94.png
Villarreal, https://assets.laliga.com/assets/2021/06/28/xsmall/9fbd53c24db4a5ff2257fa8ba57b59d4.png
Athletic Club, https://assets.laliga.com/assets/2019/06/07/xsmall/athletic-femenino.png
Alavés, https://assets.laliga.com/assets/2021/06/28/xsmall/42d681848c77e9a837be29b98e03557b.png
Alhama, https://assets.laliga.com/assets/2022/08/11/xsmall/84b1324944034fbe24ca0acca36f89f6.png